orders,e,z
1,-1.79409,0.78380
2,-2.21461,0.65620
3,-2.44063,0.56861
4,-2.59032,0.50449
5,-2.69423,0.45664
6,-2.77240,0.41900
7,-2.83350,0.38876
8,-2.88256,0.36384
10,-2.95481,0.32565
12,-3.00411,0.29752
14,-3.04010,0.27622
16,-3.06668,0.25946
18,-3.08656,0.24617
20,-3.10266,0.23508
25,-3.12871,0.21509
30,-3.14332,0.20271
35,-3.15262,0.19451
40,-3.15801,0.18836
45,-3.16202,0.18330
50,-3.16358,0.18036
60,-3.16677,0.17483
70,-3.16802,0.17312
80,-3.16836,0.17232
