orders,e,z
5,-4.10286,0.39573
10,-4.65020,0.25951
15,-4.91745,0.19152
20,-5.07821,0.15250
25,-5.18267,0.12984
30,-5.25704,0.11578
35,-5.31426,0.09822
40,-5.36242,0.08176
45,-5.39454,0.07328
50,-5.41583,0.07174
60,-5.43320,0.08310
70,-5.45271,0.08343
80,-5.48227,0.06708
90,-5.50595,0.05325
100,-5.52453,0.04394
120,-5.54015,0.03692
140,-5.55041,0.03297
160,-5.54998,0.03303
180,-5.55112,0.03271
200,-5.55269,0.03219
250,-5.55264,0.03218
