taus,g,fit
4.25000,0.41778,0.41633
4.27000,0.41705,0.41564
4.29000,0.41632,0.41495
4.31000,0.41560,0.41425
4.33000,0.41488,0.41356
4.35000,0.41416,0.41287
4.37000,0.41344,0.41219
4.39000,0.41273,0.41150
4.41000,0.41201,0.41081
4.43000,0.41130,0.41013
4.45000,0.41059,0.40945
4.47000,0.40988,0.40876
4.49000,0.40917,0.40808
4.51000,0.40847,0.40740
4.53000,0.40776,0.40672
4.55000,0.40706,0.40605
4.57000,0.40636,0.40537
4.59000,0.40566,0.40469
4.61000,0.40497,0.40402
4.63000,0.40427,0.40335
4.65000,0.40358,0.40267
4.67000,0.40289,0.40200
4.69000,0.40220,0.40133
4.71000,0.40151,0.40066
4.73000,0.40082,0.40000
4.75000,0.40014,0.39933
4.77000,0.39945,0.39866
4.79000,0.39877,0.39800
4.81000,0.39809,0.39734
4.83000,0.39741,0.39667
4.85000,0.39673,0.39601
4.87000,0.39605,0.39535
4.89000,0.39538,0.39470
4.91000,0.39471,0.39404
4.93000,0.39403,0.39338
4.95000,0.39336,0.39273
4.97000,0.39269,0.39207
4.99000,0.39203,0.39142
5.01000,0.39136,0.39077
5.03000,0.39070,0.39011
5.05000,0.39003,0.38946
5.07000,0.38937,0.38881
5.09000,0.38871,0.38817
5.11000,0.38805,0.38752
5.13000,0.38739,0.38687
5.15000,0.38674,0.38623
5.17000,0.38608,0.38559
5.19000,0.38543,0.38494
5.21000,0.38477,0.38430
5.23000,0.38412,0.38366
5.25000,0.38347,0.38302
5.27000,0.38282,0.38238
5.29000,0.38218,0.38175
5.31000,0.38153,0.38111
5.33000,0.38089,0.38048
5.35000,0.38024,0.37984
5.37000,0.37960,0.37921
5.39000,0.37896,0.37858
5.41000,0.37832,0.37795
5.43000,0.37768,0.37732
5.45000,0.37704,0.37669
5.47000,0.37641,0.37606
5.49000,0.37577,0.37543
5.51000,0.37514,0.37481
5.53000,0.37451,0.37418
5.55000,0.37388,0.37356
5.57000,0.37325,0.37294
5.59000,0.37262,0.37232
5.61000,0.37199,0.37169
5.63000,0.37137,0.37108
5.65000,0.37074,0.37046
5.67000,0.37012,0.36984
5.69000,0.36949,0.36922
5.71000,0.36887,0.36861
5.73000,0.36825,0.36799
5.75000,0.36763,0.36738
5.77000,0.36702,0.36677
5.79000,0.36640,0.36616
5.81000,0.36578,0.36555
5.83000,0.36517,0.36494
5.85000,0.36455,0.36433
5.87000,0.36394,0.36372
5.89000,0.36333,0.36312
5.91000,0.36272,0.36251
5.93000,0.36211,0.36191
5.95000,0.36150,0.36130
5.97000,0.36090,0.36070
5.99000,0.36029,0.36010
6.01000,0.35969,0.35950
6.03000,0.35908,0.35890
6.05000,0.35848,0.35830
6.07000,0.35788,0.35771
6.09000,0.35728,0.35711
6.11000,0.35668,0.35652
6.13000,0.35608,0.35592
6.15000,0.35549,0.35533
6.17000,0.35489,0.35474
6.19000,0.35430,0.35415
6.21000,0.35370,0.35355
6.23000,0.35311,0.35297
6.25000,0.35252,0.35238
6.27000,0.35193,0.35179
6.29000,0.35134,0.35120
6.31000,0.35075,0.35062
6.33000,0.35016,0.35003
6.35000,0.34958,0.34945
6.37000,0.34899,0.34887
6.39000,0.34841,0.34829
6.41000,0.34782,0.34771
6.43000,0.34724,0.34713
6.45000,0.34666,0.34655
6.47000,0.34608,0.34597
6.49000,0.34550,0.34540
6.51000,0.34492,0.34482
6.53000,0.34435,0.34425
6.55000,0.34377,0.34367
6.57000,0.34320,0.34310
6.59000,0.34262,0.34253
6.61000,0.34205,0.34196
6.63000,0.34148,0.34139
6.65000,0.34091,0.34082
6.67000,0.34034,0.34025
6.69000,0.33977,0.33968
6.71000,0.33920,0.33912
6.73000,0.33863,0.33855
6.75000,0.33807,0.33799
6.77000,0.33750,0.33742
6.79000,0.33694,0.33686
6.81000,0.33637,0.33630
6.83000,0.33581,0.33574
6.85000,0.33525,0.33518
6.87000,0.33469,0.33462
6.89000,0.33413,0.33406
6.91000,0.33357,0.33351
6.93000,0.33302,0.33295
6.95000,0.33246,0.33240
6.97000,0.33190,0.33184
6.99000,0.33135,0.33129
7.01000,0.33080,0.33074
7.03000,0.33024,0.33019
7.05000,0.32969,0.32964
7.07000,0.32914,0.32909
7.09000,0.32859,0.32854
7.11000,0.32804,0.32799
7.13000,0.32750,0.32744
7.15000,0.32695,0.32690
7.17000,0.32640,0.32635
7.19000,0.32586,0.32581
7.21000,0.32531,0.32527
7.23000,0.32477,0.32473
7.25000,0.32423,0.32418
7.27000,0.32369,0.32364
7.29000,0.32315,0.32310
7.31000,0.32261,0.32257
7.33000,0.32207,0.32203
7.35000,0.32153,0.32149
7.37000,0.32099,0.32096
7.39000,0.32046,0.32042
7.41000,0.31992,0.31989
7.43000,0.31939,0.31935
7.45000,0.31886,0.31882
7.47000,0.31833,0.31829
7.49000,0.31779,0.31776
7.51000,0.31726,0.31723
7.53000,0.31673,0.31670
7.55000,0.31621,0.31617
7.57000,0.31568,0.31565
7.59000,0.31515,0.31512
7.61000,0.31463,0.31460
7.63000,0.31410,0.31407
7.65000,0.31358,0.31355
7.67000,0.31305,0.31303
7.69000,0.31253,0.31251
7.71000,0.31201,0.31198
7.73000,0.31149,0.31146
7.75000,0.31097,0.31095
7.77000,0.31045,0.31043
7.79000,0.30993,0.30991
7.81000,0.30942,0.30939
7.83000,0.30890,0.30888
7.85000,0.30839,0.30836
7.87000,0.30787,0.30785
7.89000,0.30736,0.30734
7.91000,0.30684,0.30682
7.93000,0.30633,0.30631
7.95000,0.30582,0.30580
7.97000,0.30531,0.30529
7.99000,0.30480,0.30478
8.01000,0.30429,0.30428
8.03000,0.30379,0.30377
8.05000,0.30328,0.30326
8.07000,0.30277,0.30276
8.09000,0.30227,0.30225
8.11000,0.30177,0.30175
8.13000,0.30126,0.30125
8.15000,0.30076,0.30074
8.17000,0.30026,0.30024
8.19000,0.29976,0.29974
8.21000,0.29926,0.29924
8.23000,0.29876,0.29875
8.25000,0.29826,0.29825
8.27000,0.29776,0.29775
8.29000,0.29727,0.29725
8.31000,0.29677,0.29676
8.33000,0.29628,0.29626
8.35000,0.29578,0.29577
8.37000,0.29529,0.29528
8.39000,0.29480,0.29479
8.41000,0.29431,0.29429
8.43000,0.29382,0.29380
8.45000,0.29333,0.29331
8.47000,0.29284,0.29283
8.49000,0.29235,0.29234
8.51000,0.29186,0.29185
8.53000,0.29137,0.29136
8.55000,0.29089,0.29088
8.57000,0.29040,0.29039
8.59000,0.28992,0.28991
8.61000,0.28944,0.28943
8.63000,0.28895,0.28894
8.65000,0.28847,0.28846
8.67000,0.28799,0.28798
8.69000,0.28751,0.28750
8.71000,0.28703,0.28702
8.73000,0.28655,0.28654
8.75000,0.28608,0.28607
8.77000,0.28560,0.28559
8.79000,0.28512,0.28511
8.81000,0.28465,0.28464
8.83000,0.28417,0.28417
8.85000,0.28370,0.28369
8.87000,0.28323,0.28322
8.89000,0.28275,0.28275
8.91000,0.28228,0.28228
8.93000,0.28181,0.28181
8.95000,0.28134,0.28134
8.97000,0.28087,0.28087
8.99000,0.28040,0.28040
9.01000,0.27994,0.27993
9.03000,0.27947,0.27947
9.05000,0.27900,0.27900
9.07000,0.27854,0.27853
9.09000,0.27808,0.27807
9.11000,0.27761,0.27761
9.13000,0.27715,0.27714
9.15000,0.27669,0.27668
9.17000,0.27623,0.27622
9.19000,0.27577,0.27576
9.21000,0.27531,0.27530
9.23000,0.27485,0.27484
9.25000,0.27439,0.27439
9.27000,0.27393,0.27393
9.29000,0.27348,0.27347
9.31000,0.27302,0.27302
9.33000,0.27256,0.27256
9.35000,0.27211,0.27211
9.37000,0.27166,0.27165
9.39000,0.27120,0.27120
9.41000,0.27075,0.27075
9.43000,0.27030,0.27030
9.45000,0.26985,0.26985
9.47000,0.26940,0.26940
9.49000,0.26895,0.26895
9.51000,0.26850,0.26850
9.53000,0.26806,0.26805
9.55000,0.26761,0.26761
9.57000,0.26716,0.26716
9.59000,0.26672,0.26671
9.61000,0.26627,0.26627
9.63000,0.26583,0.26583
9.65000,0.26539,0.26538
9.67000,0.26494,0.26494
9.69000,0.26450,0.26450
9.71000,0.26406,0.26406
9.73000,0.26362,0.26362
9.75000,0.26318,0.26318
9.77000,0.26274,0.26274
9.79000,0.26231,0.26230
9.81000,0.26187,0.26187
9.83000,0.26143,0.26143
9.85000,0.26100,0.26099
9.87000,0.26056,0.26056
9.89000,0.26013,0.26013
9.91000,0.25969,0.25969
9.93000,0.25926,0.25926
9.95000,0.25883,0.25883
9.97000,0.25840,0.25840
9.99000,0.25797,0.25796
10.01000,0.25754,0.25754
10.03000,0.25711,0.25711
10.05000,0.25668,0.25668
10.07000,0.25625,0.25625
10.09000,0.25582,0.25582
10.11000,0.25540,0.25540
10.13000,0.25497,0.25497
10.15000,0.25455,0.25455
10.17000,0.25412,0.25412
10.19000,0.25370,0.25370
10.21000,0.25328,0.25328
10.23000,0.25285,0.25285
10.25000,0.25243,0.25243
10.27000,0.25201,0.25201
10.29000,0.25159,0.25159
10.31000,0.25117,0.25117
10.33000,0.25075,0.25075
10.35000,0.25034,0.25034
10.37000,0.24992,0.24992
10.39000,0.24950,0.24950
10.41000,0.24909,0.24909
10.43000,0.24867,0.24867
10.45000,0.24826,0.24826
10.47000,0.24784,0.24784
10.49000,0.24743,0.24743
10.51000,0.24702,0.24702
10.53000,0.24661,0.24661
10.55000,0.24620,0.24620
10.57000,0.24579,0.24579
10.59000,0.24538,0.24538
10.61000,0.24497,0.24497
10.63000,0.24456,0.24456
10.65000,0.24415,0.24415
10.67000,0.24374,0.24374
10.69000,0.24334,0.24334
10.71000,0.24293,0.24293
10.73000,0.24253,0.24253
10.75000,0.24212,0.24212
10.77000,0.24172,0.24172
10.79000,0.24132,0.24132
10.81000,0.24092,0.24091
10.83000,0.24051,0.24051
10.85000,0.24011,0.24011
10.87000,0.23971,0.23971
10.89000,0.23931,0.23931
10.91000,0.23891,0.23891
10.93000,0.23852,0.23852
10.95000,0.23812,0.23812
10.97000,0.23772,0.23772
10.99000,0.23733,0.23733
11.01000,0.23693,0.23693
11.03000,0.23654,0.23654
11.05000,0.23614,0.23614
11.07000,0.23575,0.23575
11.09000,0.23535,0.23535
11.11000,0.23496,0.23496
11.13000,0.23457,0.23457
11.15000,0.23418,0.23418
11.17000,0.23379,0.23379
11.19000,0.23340,0.23340
11.21000,0.23301,0.23301
11.23000,0.23262,0.23262
11.25000,0.23224,0.23224
11.27000,0.23185,0.23185
11.29000,0.23146,0.23146
11.31000,0.23108,0.23108
11.33000,0.23069,0.23069
11.35000,0.23031,0.23031
11.37000,0.22992,0.22992
11.39000,0.22954,0.22954
11.41000,0.22916,0.22916
11.43000,0.22878,0.22878
11.45000,0.22839,0.22839
11.47000,0.22801,0.22801
11.49000,0.22763,0.22763
11.51000,0.22725,0.22725
11.53000,0.22688,0.22688
11.55000,0.22650,0.22650
11.57000,0.22612,0.22612
11.59000,0.22574,0.22574
11.61000,0.22537,0.22537
11.63000,0.22499,0.22499
11.65000,0.22462,0.22462
11.67000,0.22424,0.22424
11.69000,0.22387,0.22387
11.71000,0.22350,0.22350
11.73000,0.22312,0.22312
11.75000,0.22275,0.22275
11.77000,0.22238,0.22238
11.79000,0.22201,0.22201
11.81000,0.22164,0.22164
11.83000,0.22127,0.22127
11.85000,0.22090,0.22090
11.87000,0.22053,0.22053
11.89000,0.22017,0.22017
11.91000,0.21980,0.21980
11.93000,0.21943,0.21943
11.95000,0.21907,0.21907
11.97000,0.21870,0.21870
11.99000,0.21834,0.21834
12.01000,0.21797,0.21797
12.03000,0.21761,0.21761
12.05000,0.21725,0.21725
12.07000,0.21689,0.21689
12.09000,0.21652,0.21652
12.11000,0.21616,0.21616
12.13000,0.21580,0.21580
12.15000,0.21544,0.21544
12.17000,0.21508,0.21508
12.19000,0.21473,0.21473
12.21000,0.21437,0.21437
12.23000,0.21401,0.21401
12.25000,0.21365,0.21365
12.27000,0.21330,0.21330
12.29000,0.21294,0.21294
12.31000,0.21259,0.21259
12.33000,0.21223,0.21223
12.35000,0.21188,0.21188
12.37000,0.21153,0.21153
12.39000,0.21117,0.21117
12.41000,0.21082,0.21082
12.43000,0.21047,0.21047
12.45000,0.21012,0.21012
12.47000,0.20977,0.20977
12.49000,0.20942,0.20942
12.51000,0.20907,0.20907
12.53000,0.20872,0.20872
12.55000,0.20838,0.20838
12.57000,0.20803,0.20803
12.59000,0.20768,0.20768
12.61000,0.20734,0.20734
12.63000,0.20699,0.20699
12.65000,0.20665,0.20665
12.67000,0.20630,0.20630
12.69000,0.20596,0.20596
12.71000,0.20561,0.20561
12.73000,0.20527,0.20527
12.75000,0.20493,0.20493
12.77000,0.20459,0.20459
12.79000,0.20425,0.20425
12.81000,0.20391,0.20391
12.83000,0.20357,0.20357
12.85000,0.20323,0.20323
12.87000,0.20289,0.20289
12.89000,0.20255,0.20255
12.91000,0.20221,0.20221
12.93000,0.20188,0.20188
12.95000,0.20154,0.20154
12.97000,0.20120,0.20120
12.99000,0.20087,0.20087
13.01000,0.20053,0.20053
13.03000,0.20020,0.20020
13.05000,0.19987,0.19987
13.07000,0.19953,0.19953
13.09000,0.19920,0.19920
13.11000,0.19887,0.19887
13.13000,0.19854,0.19854
13.15000,0.19821,0.19821
13.17000,0.19788,0.19788
13.19000,0.19755,0.19755
13.21000,0.19722,0.19722
13.23000,0.19689,0.19689
13.25000,0.19656,0.19656
13.27000,0.19623,0.19623
13.29000,0.19591,0.19591
13.31000,0.19558,0.19558
13.33000,0.19525,0.19525
13.35000,0.19493,0.19493
13.37000,0.19460,0.19460
13.39000,0.19428,0.19428
13.41000,0.19396,0.19396
13.43000,0.19363,0.19363
13.45000,0.19331,0.19331
13.47000,0.19299,0.19299
13.49000,0.19267,0.19267
13.51000,0.19234,0.19234
13.53000,0.19202,0.19202
13.55000,0.19170,0.19170
13.57000,0.19138,0.19138
13.59000,0.19107,0.19107
13.61000,0.19075,0.19075
13.63000,0.19043,0.19043
13.65000,0.19011,0.19011
13.67000,0.18980,0.18980
13.69000,0.18948,0.18948
13.71000,0.18916,0.18916
13.73000,0.18885,0.18885
13.75000,0.18853,0.18853
13.77000,0.18822,0.18822
13.79000,0.18791,0.18791
13.81000,0.18759,0.18759
13.83000,0.18728,0.18728
13.85000,0.18697,0.18697
13.87000,0.18666,0.18666
13.89000,0.18635,0.18635
13.91000,0.18603,0.18603
13.93000,0.18572,0.18572
13.95000,0.18542,0.18542
13.97000,0.18511,0.18511
13.99000,0.18480,0.18480
14.01000,0.18449,0.18449
14.03000,0.18418,0.18418
14.05000,0.18388,0.18388
14.07000,0.18357,0.18357
14.09000,0.18326,0.18326
14.11000,0.18296,0.18296
14.13000,0.18265,0.18265
14.15000,0.18235,0.18235
14.17000,0.18204,0.18204
14.19000,0.18174,0.18174
14.21000,0.18144,0.18144
14.23000,0.18114,0.18114
14.25000,0.18083,0.18083
14.27000,0.18053,0.18053
14.29000,0.18023,0.18023
14.31000,0.17993,0.17993
14.33000,0.17963,0.17963
14.35000,0.17933,0.17933
14.37000,0.17903,0.17903
14.39000,0.17874,0.17874
14.41000,0.17844,0.17844
14.43000,0.17814,0.17814
14.45000,0.17784,0.17784
14.47000,0.17755,0.17755
14.49000,0.17725,0.17725
14.51000,0.17696,0.17696
14.53000,0.17666,0.17666
14.55000,0.17637,0.17637
14.57000,0.17607,0.17607
14.59000,0.17578,0.17578
14.61000,0.17549,0.17549
14.63000,0.17519,0.17519
14.65000,0.17490,0.17490
14.67000,0.17461,0.17461
14.69000,0.17432,0.17432
14.71000,0.17403,0.17403
14.73000,0.17374,0.17374
14.75000,0.17345,0.17345
14.77000,0.17316,0.17316
14.79000,0.17287,0.17287
14.81000,0.17258,0.17258
14.83000,0.17230,0.17230
14.85000,0.17201,0.17201
14.87000,0.17172,0.17172
14.89000,0.17144,0.17144
14.91000,0.17115,0.17115
14.93000,0.17087,0.17087
14.95000,0.17058,0.17058
14.97000,0.17030,0.17030
14.99000,0.17001,0.17001
15.01000,0.16973,0.16973
15.03000,0.16945,0.16945
15.05000,0.16916,0.16916
15.07000,0.16888,0.16888
15.09000,0.16860,0.16860
15.11000,0.16832,0.16832
15.13000,0.16804,0.16804
15.15000,0.16776,0.16776
15.17000,0.16748,0.16748
15.19000,0.16720,0.16720
15.21000,0.16692,0.16692
15.23000,0.16664,0.16664
15.25000,0.16637,0.16637
15.27000,0.16609,0.16609
15.29000,0.16581,0.16581
15.31000,0.16554,0.16554
15.33000,0.16526,0.16526
15.35000,0.16498,0.16498
15.37000,0.16471,0.16471
15.39000,0.16444,0.16444
15.41000,0.16416,0.16416
15.43000,0.16389,0.16389
15.45000,0.16361,0.16361
15.47000,0.16334,0.16334
15.49000,0.16307,0.16307
15.51000,0.16280,0.16280
15.53000,0.16253,0.16253
15.55000,0.16226,0.16226
15.57000,0.16199,0.16199
15.59000,0.16172,0.16172
15.61000,0.16145,0.16145
15.63000,0.16118,0.16118
15.65000,0.16091,0.16091
15.67000,0.16064,0.16064
15.69000,0.16037,0.16037
15.71000,0.16011,0.16011
15.73000,0.15984,0.15984
15.75000,0.15957,0.15957
15.77000,0.15931,0.15931
15.79000,0.15904,0.15904
15.81000,0.15878,0.15878
15.83000,0.15851,0.15851
15.85000,0.15825,0.15825
15.87000,0.15798,0.15798
15.89000,0.15772,0.15772
15.91000,0.15746,0.15746
15.93000,0.15719,0.15719
15.95000,0.15693,0.15693
15.97000,0.15667,0.15667
15.99000,0.15641,0.15641
16.01000,0.15615,0.15615
16.03000,0.15589,0.15589
16.05000,0.15563,0.15563
16.07000,0.15537,0.15537
16.09000,0.15511,0.15511
16.11000,0.15485,0.15485
16.13000,0.15459,0.15459
16.15000,0.15434,0.15434
16.17000,0.15408,0.15408
16.19000,0.15382,0.15382
16.21000,0.15357,0.15357
16.23000,0.15331,0.15331
16.25000,0.15306,0.15306
16.27000,0.15280,0.15280
16.29000,0.15255,0.15255
16.31000,0.15229,0.15229
16.33000,0.15204,0.15204
16.35000,0.15178,0.15178
16.37000,0.15153,0.15153
16.39000,0.15128,0.15128
16.41000,0.15103,0.15103
16.43000,0.15078,0.15078
16.45000,0.15052,0.15052
16.47000,0.15027,0.15027
16.49000,0.15002,0.15002
16.51000,0.14977,0.14977
16.53000,0.14952,0.14952
16.55000,0.14927,0.14927
16.57000,0.14903,0.14903
16.59000,0.14878,0.14878
16.61000,0.14853,0.14853
16.63000,0.14828,0.14828
16.65000,0.14803,0.14803
16.67000,0.14779,0.14779
16.69000,0.14754,0.14754
16.71000,0.14730,0.14730
16.73000,0.14705,0.14705
16.75000,0.14681,0.14681
16.77000,0.14656,0.14656
16.79000,0.14632,0.14632
16.81000,0.14607,0.14607
16.83000,0.14583,0.14583
16.85000,0.14559,0.14559
16.87000,0.14534,0.14534
16.89000,0.14510,0.14510
16.91000,0.14486,0.14486
16.93000,0.14462,0.14462
16.95000,0.14438,0.14438
16.97000,0.14414,0.14414
16.99000,0.14390,0.14390
17.01000,0.14366,0.14366
17.03000,0.14342,0.14342
17.05000,0.14318,0.14318
17.07000,0.14294,0.14294
17.09000,0.14270,0.14270
17.11000,0.14246,0.14246
17.13000,0.14223,0.14223
17.15000,0.14199,0.14199
17.17000,0.14175,0.14175
17.19000,0.14152,0.14152
17.21000,0.14128,0.14128
17.23000,0.14104,0.14104
17.25000,0.14081,0.14081
17.27000,0.14058,0.14058
17.29000,0.14034,0.14034
17.31000,0.14011,0.14011
17.33000,0.13987,0.13987
17.35000,0.13964,0.13964
17.37000,0.13941,0.13941
17.39000,0.13918,0.13918
17.41000,0.13894,0.13894
17.43000,0.13871,0.13871
17.45000,0.13848,0.13848
17.47000,0.13825,0.13825
17.49000,0.13802,0.13802
17.51000,0.13779,0.13779
17.53000,0.13756,0.13756
17.55000,0.13733,0.13733
17.57000,0.13710,0.13710
17.59000,0.13687,0.13687
17.61000,0.13665,0.13665
17.63000,0.13642,0.13642
17.65000,0.13619,0.13619
17.67000,0.13596,0.13596
17.69000,0.13574,0.13574
17.71000,0.13551,0.13551
17.73000,0.13528,0.13528
17.75000,0.13506,0.13506
17.77000,0.13483,0.13483
17.79000,0.13461,0.13461
17.81000,0.13439,0.13439
17.83000,0.13416,0.13416
17.85000,0.13394,0.13394
17.87000,0.13371,0.13371
17.89000,0.13349,0.13349
17.91000,0.13327,0.13327
17.93000,0.13305,0.13305
17.95000,0.13283,0.13283
17.97000,0.13260,0.13260
17.99000,0.13238,0.13238
18.01000,0.13216,0.13216
18.03000,0.13194,0.13194
18.05000,0.13172,0.13172
18.07000,0.13150,0.13150
18.09000,0.13128,0.13128
18.11000,0.13107,0.13107
18.13000,0.13085,0.13085
18.15000,0.13063,0.13063
18.17000,0.13041,0.13041
18.19000,0.13019,0.13019
18.21000,0.12998,0.12998
18.23000,0.12976,0.12976
18.25000,0.12954,0.12954
18.27000,0.12933,0.12933
18.29000,0.12911,0.12911
18.31000,0.12890,0.12890
18.33000,0.12868,0.12868
18.35000,0.12847,0.12847
18.37000,0.12825,0.12825
18.39000,0.12804,0.12804
18.41000,0.12783,0.12783
18.43000,0.12761,0.12761
18.45000,0.12740,0.12740
18.47000,0.12719,0.12719
18.49000,0.12698,0.12698
18.51000,0.12677,0.12677
18.53000,0.12655,0.12655
18.55000,0.12634,0.12634
18.57000,0.12613,0.12613
18.59000,0.12592,0.12592
18.61000,0.12571,0.12571
18.63000,0.12550,0.12550
