p,e1,e2
0.26346,-0.97117,-0.98368
0.26486,-0.97086,-0.98337
0.26627,-0.97056,-0.98306
0.26767,-0.97025,-0.98275
0.26907,-0.96993,-0.98243
0.27047,-0.96962,-0.98212
0.27187,-0.96931,-0.98180
0.27327,-0.96899,-0.98148
0.27467,-0.96867,-0.98116
0.27608,-0.96835,-0.98084
0.27748,-0.96803,-0.98052
0.27888,-0.96771,-0.98019
0.28028,-0.96739,-0.97987
0.28168,-0.96706,-0.97954
0.28308,-0.96673,-0.97921
0.28448,-0.96640,-0.97888
0.28589,-0.96607,-0.97854
0.28729,-0.96574,-0.97821
0.28869,-0.96541,-0.97787
0.29009,-0.96507,-0.97753
0.29149,-0.96474,-0.97719
0.29289,-0.96440,-0.97685
0.29429,-0.96406,-0.97651
0.29570,-0.96372,-0.97617
0.29710,-0.96337,-0.97582
0.29850,-0.96303,-0.97547
0.29990,-0.96268,-0.97512
0.30130,-0.96233,-0.97477
0.30270,-0.96198,-0.97442
0.30410,-0.96163,-0.97406
0.30551,-0.96128,-0.97371
0.30691,-0.96092,-0.97335
0.30831,-0.96057,-0.97299
0.30971,-0.96021,-0.97263
0.31111,-0.95985,-0.97227
0.31251,-0.95949,-0.97190
0.31391,-0.95913,-0.97154
0.31532,-0.95876,-0.97117
0.31672,-0.95840,-0.97080
0.31812,-0.95803,-0.97043
0.31952,-0.95766,-0.97006
0.32092,-0.95729,-0.96969
0.32232,-0.95692,-0.96931
0.32372,-0.95655,-0.96893
0.32513,-0.95617,-0.96855
0.32653,-0.95580,-0.96817
0.32793,-0.95542,-0.96779
0.32933,-0.95504,-0.96741
0.33073,-0.95466,-0.96702
0.33213,-0.95427,-0.96663
0.33353,-0.95389,-0.96625
0.33493,-0.95350,-0.96586
0.33634,-0.95311,-0.96546
0.33774,-0.95272,-0.96507
0.33914,-0.95233,-0.96467
0.34054,-0.95194,-0.96428
0.34194,-0.95155,-0.96388
0.34334,-0.95115,-0.96348
0.34474,-0.95075,-0.96308
0.34615,-0.95036,-0.96267
0.34755,-0.94995,-0.96227
0.34895,-0.94955,-0.96186
0.35035,-0.94915,-0.96145
0.35175,-0.94874,-0.96104
0.35315,-0.94834,-0.96063
0.35455,-0.94793,-0.96022
0.35596,-0.94752,-0.95980
0.35736,-0.94711,-0.95939
0.35876,-0.94669,-0.95897
0.36016,-0.94628,-0.95855
0.36156,-0.94586,-0.95813
0.36296,-0.94545,-0.95771
0.36436,-0.94503,-0.95728
0.36577,-0.94461,-0.95685
0.36717,-0.94418,-0.95643
0.36857,-0.94376,-0.95600
0.36997,-0.94333,-0.95557
0.37137,-0.94291,-0.95513
0.37277,-0.94248,-0.95470
0.37417,-0.94205,-0.95426
0.37558,-0.94162,-0.95382
0.37698,-0.94118,-0.95338
0.37838,-0.94075,-0.95294
0.37978,-0.94031,-0.95250
0.38118,-0.93987,-0.95206
0.38258,-0.93943,-0.95161
0.38398,-0.93899,-0.95116
0.38539,-0.93855,-0.95071
0.38679,-0.93810,-0.95026
