p,e1,e2
1.14915,-0.50707,-0.46237
1.15055,-0.50613,-0.46103
1.15195,-0.50519,-0.45968
1.15335,-0.50425,-0.45834
1.15475,-0.50332,-0.45699
1.15616,-0.50238,-0.45564
1.15756,-0.50145,-0.45429
1.15896,-0.50051,-0.45294
1.16036,-0.49958,-0.45158
1.16176,-0.49866,-0.45023
1.16316,-0.49773,-0.44887
1.16456,-0.49680,-0.44751
1.16597,-0.49588,-0.44615
1.16737,-0.49496,-0.44479
1.16877,-0.49404,-0.44342
1.17017,-0.49312,-0.44206
1.17157,-0.49220,-0.44069
1.17297,-0.49129,-0.43932
1.17437,-0.49037,-0.43795
1.17578,-0.48946,-0.43658
1.17718,-0.48855,-0.43520
1.17858,-0.48765,-0.43383
1.17998,-0.48674,-0.43245
1.18138,-0.48584,-0.43107
1.18278,-0.48494,-0.42969
1.18418,-0.48404,-0.42831
1.18559,-0.48314,-0.42693
1.18699,-0.48225,-0.42554
1.18839,-0.48136,-0.42415
1.18979,-0.48047,-0.42276
1.19119,-0.47958,-0.42137
1.19259,-0.47870,-0.41998
1.19399,-0.47781,-0.41859
1.19540,-0.47694,-0.41719
1.19680,-0.47606,-0.41580
1.19820,-0.47518,-0.41440
1.19960,-0.47431,-0.41300
1.20100,-0.47344,-0.41160
1.20240,-0.47258,-0.41019
1.20380,-0.47172,-0.40879
1.20521,-0.47086,-0.40738
1.20661,-0.47000,-0.40597
1.20801,-0.46914,-0.40456
1.20941,-0.46829,-0.40315
1.21081,-0.46745,-0.40174
1.21221,-0.46660,-0.40032
1.21361,-0.46576,-0.39891
1.21502,-0.46492,-0.39749
1.21642,-0.46409,-0.39607
1.21782,-0.46326,-0.39465
1.21922,-0.46243,-0.39322
1.22062,-0.46160,-0.39180
1.22202,-0.46078,-0.39037
1.22342,-0.45997,-0.38895
1.22482,-0.45915,-0.38752
1.22623,-0.45834,-0.38608
1.22763,-0.45754,-0.38465
1.22903,-0.45674,-0.38322
1.23043,-0.45594,-0.38178
1.23183,-0.45515,-0.38034
1.23323,-0.45436,-0.37890
1.23463,-0.45357,-0.37746
1.23604,-0.45279,-0.37602
1.23744,-0.45202,-0.37458
1.23884,-0.45124,-0.37313
1.24024,-0.45048,-0.37168
1.24164,-0.44971,-0.37023
1.24304,-0.44896,-0.36878
1.24444,-0.44820,-0.36733
1.24585,-0.44746,-0.36588
1.24725,-0.44671,-0.36442
1.24865,-0.44598,-0.36296
1.25005,-0.44524,-0.36150
1.25145,-0.44452,-0.36004
1.25285,-0.44380,-0.35858
1.25425,-0.44308,-0.35712
1.25566,-0.44237,-0.35565
1.25706,-0.44167,-0.35418
1.25846,-0.44097,-0.35272
1.25986,-0.44027,-0.35124
1.26126,-0.43959,-0.34977
1.26266,-0.43891,-0.34830
1.26406,-0.43823,-0.34682
1.26547,-0.43757,-0.34535
1.26687,-0.43691,-0.34387
1.26827,-0.43625,-0.34239
1.26967,-0.43560,-0.34091
1.27107,-0.43496,-0.33942
1.27247,-0.43433,-0.33794
1.27387,-0.43371,-0.33645
1.27528,-0.43309,-0.33496
1.27668,-0.43248,-0.33347
1.27808,-0.43187,-0.33198
1.27948,-0.43128,-0.33049
1.28088,-0.43069,-0.32899
1.28228,-0.43011,-0.32749
1.28368,-0.42954,-0.32600
1.28509,-0.42898,-0.32450
1.28649,-0.42843,-0.32299
1.28789,-0.42789,-0.32149
1.28929,-0.42735,-0.31999
1.29069,-0.42683,-0.31848
1.29209,-0.42631,-0.31697
1.29349,-0.42581,-0.31546
1.29489,-0.42531,-0.31395
1.29630,-0.42483,-0.31244
1.29770,-0.42435,-0.31092
1.29910,-0.42389,-0.30941
1.30050,-0.42344,-0.30789
1.30190,-0.42299,-0.30637
1.30330,-0.42256,-0.30485
1.30470,-0.42215,-0.30333
1.30611,-0.42174,-0.30180
1.30751,-0.42135,-0.30027
1.30891,-0.42096,-0.29875
1.31031,-0.42060,-0.29722
1.31171,-0.42024,-0.29569
1.31311,-0.41990,-0.29415
1.31451,-0.41957,-0.29262
1.31592,-0.41926,-0.29108
1.31732,-0.41896,-0.28955
1.31872,-0.41868,-0.28801
1.32012,-0.41841,-0.28647
1.32152,-0.41816,-0.28492
1.32292,-0.41793,-0.28338
1.32432,-0.41771,-0.28183
1.32573,-0.41751,-0.28029
1.32713,-0.41732,-0.27874
1.32853,-0.41716,-0.27719
1.32993,-0.41701,-0.27563
1.33133,-0.41689,-0.27408
1.33273,-0.41678,-0.27252
1.33413,-0.41669,-0.27097
1.33554,-0.41663,-0.26941
1.33694,-0.41659,-0.26785
1.33834,-0.41657,-0.26629
1.33974,-0.41657,-0.26472
1.34114,-0.41659,-0.26316
1.34254,-0.41665,-0.26159
1.34394,-0.41672,-0.26002
1.34535,-0.41683,-0.25845
1.34675,-0.41696,-0.25688
1.34815,-0.41712,-0.25530
1.34955,-0.41730,-0.25373
1.35095,-0.41752,-0.25215
1.35235,-0.41777,-0.25057
1.35375,-0.41806,-0.24899
1.35516,-0.41838,-0.24741
1.35656,-0.41873,-0.24583
1.35796,-0.41912,-0.24424
1.35936,-0.41955,-0.24266
1.36076,-0.42001,-0.24107
1.36216,-0.42052,-0.23948
1.36356,-0.42108,-0.23789
1.36496,-0.42168,-0.23629
1.36637,-0.42232,-0.23470
1.36777,-0.42302,-0.23310
1.36917,-0.42377,-0.23150
1.37057,-0.42457,-0.22990
1.37197,-0.42543,-0.22830
1.37337,-0.42636,-0.22670
1.37477,-0.42735,-0.22510
1.37618,-0.42840,-0.22349
1.37758,-0.42953,-0.22188
1.37898,-0.43073,-0.22027
1.38038,-0.43202,-0.21866
1.38178,-0.43339,-0.21705
1.38318,-0.43486,-0.21543
1.38458,-0.43643,-0.21382
1.38599,-0.43810,-0.21220
1.38739,-0.43989,-0.21058
1.38879,-0.44180,-0.20896
1.39019,-0.44385,-0.20734
1.39159,-0.44605,-0.20571
1.39299,-0.44842,-0.20409
1.39439,-0.45096,-0.20246
1.39580,-0.45370,-0.20083
1.39720,-0.45667,-0.19920
1.39860,-0.45989,-0.19757
1.40000,-0.46341,-0.19593
