p,e,z,e_err,z_err
0.00000,-3.17075,0.17086,0.00015,0.00001
0.10000,-3.16792,0.17019,0.00013,0.00001
0.20000,-3.15993,0.16839,0.00012,0.00001
0.30000,-3.14660,0.16570,0.00013,0.00001
0.40000,-3.12809,0.16188,0.00013,0.00001
0.50000,-3.10488,0.15647,0.00015,0.00001
0.60000,-3.07656,0.15120,0.00014,0.00001
0.70000,-3.04422,0.14423,0.00016,0.00001
0.80000,-3.00739,0.13672,0.00013,0.00000
0.90000,-2.96764,0.12762,0.00015,0.00000
1.00000,-2.92403,0.11901,0.00016,0.00000
1.10000,-2.87773,0.10993,0.00016,0.00000
1.20000,-2.83079,0.09903,0.00017,0.00000
1.30000,-2.78121,0.08950,0.00017,0.00000
1.40000,-2.73192,0.07897,0.00017,0.00000
1.50000,-2.68139,0.06946,0.00019,0.00000
1.60000,-2.63180,0.05983,0.00019,0.00000
1.70000,-2.58293,0.05113,0.00019,0.00000
1.80000,-2.53512,0.04317,0.00022,0.00000
1.90000,-2.48881,0.03604,0.00016,0.00000
2.00000,-2.44449,0.03027,0.00016,0.00000
2.10000,-2.40229,0.02452,0.00014,0.00000
2.20000,-2.36086,0.02085,0.00014,0.00000
2.30000,-2.32449,0.01644,0.00018,0.00000
2.40000,-2.28831,0.01397,0.00018,0.00000
2.50000,-2.25605,0.01136,0.00022,0.00000
2.60000,-2.22895,0.00794,0.00057,0.00000
2.70000,-2.20109,0.00708,0.00047,0.00000
2.80000,-2.17862,0.00566,0.00050,0.00000
2.90000,-2.16838,0.00336,0.00169,0.00000
3.00000,-2.15242,0.00305,0.00138,0.00000
