p,e1,e2
0.26346,-2.98292,-3.09603
0.26486,-2.98274,-3.09584
0.26627,-2.98256,-3.09566
0.26767,-2.98238,-3.09547
0.26907,-2.98220,-3.09528
0.27047,-2.98202,-3.09509
0.27187,-2.98184,-3.09490
0.27327,-2.98165,-3.09471
0.27467,-2.98147,-3.09452
0.27608,-2.98128,-3.09433
0.27748,-2.98109,-3.09413
0.27888,-2.98090,-3.09394
0.28028,-2.98072,-3.09374
0.28168,-2.98053,-3.09354
0.28308,-2.98034,-3.09335
0.28448,-2.98014,-3.09315
0.28589,-2.97995,-3.09295
0.28729,-2.97976,-3.09275
0.28869,-2.97957,-3.09254
0.29009,-2.97937,-3.09234
0.29149,-2.97917,-3.09214
0.29289,-2.97898,-3.09193
0.29429,-2.97878,-3.09173
0.29570,-2.97858,-3.09152
0.29710,-2.97838,-3.09131
0.29850,-2.97818,-3.09110
0.29990,-2.97798,-3.09090
0.30130,-2.97778,-3.09068
0.30270,-2.97758,-3.09047
0.30410,-2.97737,-3.09026
0.30551,-2.97717,-3.09005
0.30691,-2.97697,-3.08983
0.30831,-2.97676,-3.08962
0.30971,-2.97655,-3.08940
0.31111,-2.97635,-3.08918
0.31251,-2.97614,-3.08896
0.31391,-2.97593,-3.08874
0.31532,-2.97572,-3.08852
0.31672,-2.97551,-3.08830
0.31812,-2.97529,-3.08808
0.31952,-2.97508,-3.08786
0.32092,-2.97487,-3.08763
0.32232,-2.97465,-3.08741
0.32372,-2.97444,-3.08718
0.32513,-2.97422,-3.08695
0.32653,-2.97401,-3.08673
0.32793,-2.97379,-3.08650
0.32933,-2.97357,-3.08627
0.33073,-2.97335,-3.08603
0.33213,-2.97313,-3.08580
0.33353,-2.97291,-3.08557
0.33493,-2.97269,-3.08533
0.33634,-2.97246,-3.08510
0.33774,-2.97224,-3.08486
0.33914,-2.97202,-3.08463
0.34054,-2.97179,-3.08439
0.34194,-2.97157,-3.08415
0.34334,-2.97134,-3.08391
0.34474,-2.97111,-3.08367
0.34615,-2.97088,-3.08343
