order,density
0.00000,0.48509
1.00000,0.36826
2.00000,0.07330
3.00000,0.03254
4.00000,0.01717
5.00000,0.00964
6.00000,0.00563
7.00000,0.00334
8.00000,0.00200
9.00000,0.00119
10.00000,0.00072
11.00000,0.00042
12.00000,0.00027
13.00000,0.00016
14.00000,0.00010
15.00000,0.00006
16.00000,0.00004
17.00000,0.00003
18.00000,0.00002
19.00000,0.00001
20.00000,0.00001
21.00000,0.00000
22.00000,0.00000
23.00000,0.00000
24.00000,0.00000
25.00000,0.00000
26.00000,0.00000
27.00000,0.00000
28.00000,0.00000
29.00000,0.00000
30.00000,0.00000
