tau                          G0_t                          S_higher_t                    G_w                           G_t                           
1.2225                        0.260605                      -0.000148826                  0.000397-0.019939j            -0.543859                     
1.2375                        0.25634                       3.64907e-05                   0.000388-0.019696j            -0.54091                      
1.2525                        0.252145                      0.000348264                   0.000379-0.019460j            -0.537983                     
1.2675                        0.248019                      1.31545e-05                   0.000370-0.019229j            -0.535077                     
1.2825                        0.24396                       -2.59401e-05                  0.000361-0.019003j            -0.532192                     
1.2975                        0.239968                      7.18291e-05                   0.000353-0.018783j            -0.529327                     
1.3125                        0.236041                      3.32064e-05                   0.000345-0.018568j            -0.526482                     
1.3275                        0.232178                      -1.69395e-05                  0.000338-0.018358j            -0.523657                     
1.3425                        0.228379                      -0.000208285                  0.000331-0.018152j            -0.520852                     
1.3575                        0.224641                      -1.99309e-05                  0.000323-0.017951j            -0.518065                     
1.3725                        0.220965                      2.71634e-05                   0.000317-0.017754j            -0.515297                     
1.3875                        0.217349                      0.000122239                   0.000310-0.017562j            -0.512547                     
1.4025                        0.213792                      0.000149428                   0.000303-0.017374j            -0.509816                     
1.4175                        0.210294                      -0.000116934                  0.000297-0.017189j            -0.507103                     
1.4325                        0.206852                      -7.47164e-06                  0.000291-0.017009j            -0.504407                     
1.4475                        0.203467                      4.43893e-05                   0.000285-0.016832j            -0.501729                     
1.4625                        0.200138                      -0.000129308                  0.000280-0.016659j            -0.499068                     
1.4775                        0.196862                      -7.70818e-05                  0.000274-0.016490j            -0.496424                     
1.4925                        0.193641                      2.91011e-05                   0.000269-0.016324j            -0.493797                     
1.5075                        0.190472                      -1.24488e-07                  0.000263-0.016161j            -0.491186                     
1.5225                        0.187355                      5.56933e-05                   0.000258-0.016001j            -0.488591                     
1.5375                        0.184289                      6.18304e-06                   0.000253-0.015845j            -0.486013                     
1.5525                        0.181273                      2.21445e-05                   0.000249-0.015691j            -0.48345                      
1.5675                        0.178307                      3.33325e-05                   0.000244-0.015541j            -0.480903                     
1.5825                        0.175389                      2.2328e-05                    0.000240-0.015393j            -0.478372                     
1.5975                        0.172519                      -3.84024e-05                  0.000235-0.015248j            -0.475856                     
1.6125                        0.169695                      -3.30829e-05                  0.000231-0.015106j            -0.473355                     
1.6275                        0.166918                      -0.000188396                  0.000227-0.014966j            -0.47087                      
1.6425                        0.164187                      -2.15885e-06                  0.000223-0.014829j            -0.468399                     
1.6575                        0.1615                        -6.9144e-05                   0.000219-0.014695j            -0.465942                     
1.6725                        0.158857                      8.90434e-05                   0.000215-0.014563j            -0.4635                       
1.6875                        0.156257                      -5.13914e-05                  0.000211-0.014433j            -0.461073                     
1.7025                        0.1537                        -8.16859e-05                  0.000208-0.014306j            -0.458659                     
1.7175                        0.151185                      1.6572e-06                    0.000204-0.014180j            -0.45626                      
1.7325                        0.148711                      8.33843e-05                   0.000201-0.014057j            -0.453875                     
1.7475                        0.146277                      -6.08406e-05                  0.000197-0.013936j            -0.451503                     
1.7625                        0.143884                      -5.52696e-05                  0.000194-0.013818j            -0.449145                     
1.7775                        0.141529                      -6.92756e-06                  0.000191-0.013701j            -0.446801                     
1.7925                        0.139213                      -6.0592e-05                   0.000188-0.013586j            -0.44447                      
1.8075                        0.136935                      1.16316e-05                   0.000185-0.013473j            -0.442152                     
1.8225                        0.134694                      -4.08287e-05                  0.000182-0.013362j            -0.439847                     
1.8375                        0.13249                       2.72668e-05                   0.000179-0.013252j            -0.437555                     
1.8525                        0.130322                      -0.00010763                   0.000176-0.013145j            -0.435277                     
1.8675                        0.128189                      -2.76091e-05                  0.000173-0.013039j            -0.433011                     
1.8825                        0.126091                      4.71215e-05                   0.000170-0.012935j            -0.430757                     
1.8975                        0.124028                      4.67593e-06                   0.000168-0.012832j            -0.428517                     
1.9125                        0.121998                      0.000105044                   0.000165-0.012732j            -0.426288                     
1.9275                        0.120002                      -7.28373e-05                  0.000163-0.012632j            -0.424072                     
1.9425                        0.118038                      -4.66155e-05                  0.000160-0.012535j            -0.421869                     
1.9575                        0.116106                      -1.20292e-05                  0.000158-0.012438j            -0.419677                     
1.9725                        0.114206                      -4.42723e-05                  0.000155-0.012344j            -0.417498                     
1.9875                        0.112337                      2.36083e-05                   0.000153-0.012250j            -0.41533                      
2.0025                        0.110499                      -4.47756e-05                  0.000151-0.012158j            -0.413175                     
2.0175                        0.108691                      2.8574e-05                    0.000149-0.012068j            -0.411031                     
2.0325                        0.106912                      0.00011794                    0.000147-0.011978j            -0.408899                     
2.0475                        0.105162                      2.49386e-05                   0.000145-0.011891j            -0.406778                     
2.0625                        0.103441                      -1.81705e-05                  0.000142-0.011804j            -0.404669                     
2.0775                        0.101749                      -8.48257e-06                  0.000140-0.011718j            -0.402572                     
2.0925                        0.100084                      6.74527e-05                   0.000138-0.011634j            -0.400486                     
2.1075                        0.0984457                     -6.41471e-05                  0.000137-0.011551j            -0.398411                     
2.1225                        0.0968347                     -5.73577e-05                  0.000135-0.011470j            -0.396347                     
2.1375                        0.09525                       0.000110509                   0.000133-0.011389j            -0.394294                     
2.1525                        0.0936913                     -4.87521e-06                  0.000131-0.011309j            -0.392253                     
2.1675                        0.0921581                     5.68978e-05                   0.000129-0.011231j            -0.390222                     
2.1825                        0.0906499                     -5.92739e-05                  0.000127-0.011154j            -0.388202                     
2.1975                        0.0891665                     -6.89033e-06                  0.000126-0.011077j            -0.386193                     
2.2125                        0.0877073                     6.89611e-05                   0.000124-0.011002j            -0.384195                     
2.2275                        0.086272                      4.96046e-05                   0.000122-0.010928j            -0.382208                     
2.2425                        0.0848602                     3.69947e-05                   0.000121-0.010855j            -0.380231                     
2.2575                        0.0834715                     -1.92437e-05                  0.000119-0.010782j            -0.378264                     
2.2725                        0.0821055                     3.08596e-05                   0.000118-0.010711j            -0.376308                     
2.2875                        0.0807619                     3.32227e-05                   0.000116-0.010641j            -0.374363                     
2.3025                        0.0794403                     -4.50482e-06                  0.000115-0.010571j            -0.372427                     
2.3175                        0.0781402                     7.25665e-05                   0.000113-0.010503j            -0.370502                     
2.3325                        0.0768615                     -2.71026e-05                  0.000112-0.010435j            -0.368587                     
2.3475                        0.0756037                     -1.97952e-05                  0.000110-0.010368j            -0.366683                     
2.3625                        0.0743665                     -3.13283e-05                  0.000109-0.010302j            -0.364788                     
2.3775                        0.0731495                     -2.92379e-06                  0.000108-0.010237j            -0.362903                     
2.3925                        0.0719524                     -8.10543e-06                  0.000106-0.010173j            -0.361029                     
2.4075                        0.070775                      -3.58317e-05                  0.000105-0.010109j            -0.359164                     
2.4225                        0.0696168                     -1.08094e-05                  0.000104-0.010047j            -0.357308                     
2.4375                        0.0684775                     -4.29752e-05                  0.000103-0.009985j            -0.355463                     
2.4525                        0.0673569                     -3.30934e-05                  0.000101-0.009923j            -0.353627                     
2.4675                        0.0662546                     3.1499e-05                    0.000100-0.009863j            -0.351801                     
2.4825                        0.0651704                     4.25546e-06                   0.000099-0.009803j            -0.349985                     
2.4975                        0.0641039                     9.99806e-06                   0.000098-0.009744j            -0.348178                     
2.5125                        0.0630549                     3.27992e-05                   0.000097-0.009686j            -0.34638                      
2.5275                        0.062023                      2.45329e-05                   0.000095-0.009628j            -0.344592                     
2.5425                        0.061008                      2.25955e-05                   0.000094-0.009572j            -0.342813                     
2.5575                        0.0600096                     -1.90786e-05                  0.000093-0.009515j            -0.341044                     
2.5725                        0.0590276                     2.36399e-05                   0.000092-0.009460j            -0.339284                     
2.5875                        0.0580616                     1.44759e-05                   0.000091-0.009405j            -0.337533                     
2.6025                        0.0571115                     4.09973e-05                   0.000090-0.009351j            -0.335791                     
2.6175                        0.0561769                     5.42913e-06                   0.000089-0.009297j            -0.334058                     
2.6325                        0.0552576                     -2.20308e-05                  0.000088-0.009244j            -0.332334                     
2.6475                        0.0543533                     -1.67881e-05                  0.000087-0.009191j            -0.330619                     
2.6625                        0.0534638                     2.26003e-05                   0.000086-0.009139j            -0.328914                     
2.6775                        0.0525889                     2.16636e-05                   0.000085-0.009088j            -0.327217                     
2.6925                        0.0517283                     -1.20707e-05                  0.000084-0.009037j            -0.325528                     
2.7075                        0.0508818                     -2.06371e-05                  0.000083-0.008987j            -0.323849                     
2.7225                        0.0500491                     -4.95032e-05                  0.000082-0.008938j            -0.322178                     
2.7375                        0.0492301                     -5.10718e-06                  0.000082-0.008889j            -0.320516                     
2.7525                        0.0484245                     4.19574e-05                   0.000081-0.008840j            -0.318863                     
2.7675                        0.047632                      1.36337e-05                   0.000080-0.008792j            -0.317218                     
2.7825                        0.0468525                     3.1895e-05                    0.000079-0.008745j            -0.315582                     
2.7975                        0.0460858                     -5.64803e-05                  0.000078-0.008698j            -0.313954                     
2.8125                        0.0453316                     -2.04324e-05                  0.000077-0.008651j            -0.312335                     
2.8275                        0.0445898                     -4.41846e-06                  0.000077-0.008605j            -0.310724                     
2.8425                        0.0438601                     4.66051e-05                   0.000076-0.008560j            -0.309121                     
2.8575                        0.0431424                     1.02084e-05                   0.000075-0.008515j            -0.307527                     
2.8725                        0.0424363                     -1.09543e-05                  0.000074-0.008470j            -0.305941                     
2.8875                        0.0417419                     5.3447e-06                    0.000073-0.008426j            -0.304363                     
2.9025                        0.0410588                     -1.37178e-05                  0.000073-0.008383j            -0.302793                     
2.9175                        0.0403869                     -8.48965e-07                  0.000072-0.008339j            -0.301232                     
2.9325                        0.039726                      3.67747e-06                   0.000071-0.008297j            -0.299678                     
2.9475                        0.0390759                     -4.99964e-06                  0.000071-0.008254j            -0.298133                     
2.9625                        0.0384364                     1.22307e-05                   0.000070-0.008212j            -0.296595                     
2.9775                        0.0378074                     4.63932e-06                   0.000069-0.008171j            -0.295066                     
2.9925                        0.0371887                     1.31948e-05                   0.000068-0.008130j            -0.293544                     
3.0075                        0.0365801                     1.63634e-05                   0.000068-0.008089j            -0.292031                     
3.0225                        0.0359815                     -4.9974e-05                   0.000067-0.008049j            -0.290525                     
3.0375                        0.0353927                     -1.10814e-05                  0.000066-0.008009j            -0.289027                     
3.0525                        0.0348135                     4.11072e-06                   0.000066-0.007970j            -0.287536                     
3.0675                        0.0342438                     4.09192e-06                   0.000065-0.007931j            -0.286054                     
3.0825                        0.0336834                     -1.25501e-05                  0.000065-0.007892j            -0.284578                     
3.0975                        0.0331322                     1.18091e-05                   0.000064-0.007854j            -0.283111                     
3.1125                        0.03259                       9.06271e-06                   0.000063-0.007816j            -0.281651                     
3.1275                        0.0320567                     5.43756e-06                   0.000063-0.007779j            -0.280199                     
3.1425                        0.0315321                     6.49943e-06                   0.000062-0.007741j            -0.278754                     
3.1575                        0.0310161                     -1.21502e-05                  0.000062-0.007704j            -0.277317                     
3.1725                        0.0305085                     1.05806e-06                   0.000061-0.007668j            -0.275887                     
3.1875                        0.0300092                     -2.397e-05                    0.000060-0.007632j            -0.274464                     
3.2025                        0.0295181                     1.23565e-05                   0.000060-0.007596j            -0.273049                     
3.2175                        0.0290351                     9.55012e-07                   0.000059-0.007561j            -0.271641                     
3.2325                        0.0285599                     1.37619e-05                   0.000059-0.007525j            -0.27024                      
3.2475                        0.0280926                     2.43243e-06                   0.000058-0.007491j            -0.268847                     
3.2625                        0.0276328                     2.93278e-05                   0.000058-0.007456j            -0.267461                     
3.2775                        0.0271806                     1.13215e-05                   0.000057-0.007422j            -0.266082                     
3.2925                        0.0267358                     -8.45903e-06                  0.000057-0.007388j            -0.26471                      
3.3075                        0.0262983                     1.377e-05                     0.000056-0.007355j            -0.263345                     
3.3225                        0.025868                      -7.74342e-06                  0.000056-0.007321j            -0.261987                     
3.3375                        0.0254446                     -2.48351e-06                  0.000055-0.007288j            -0.260636                     
3.3525                        0.0250283                     1.26688e-05                   0.000055-0.007256j            -0.259292                     
3.3675                        0.0246187                     -4.02642e-06                  0.000054-0.007223j            -0.257955                     
3.3825                        0.0242158                     1.5749e-06                    0.000054-0.007191j            -0.256625                     
3.3975                        0.0238195                     9.91068e-06                   0.000053-0.007159j            -0.255302                     
3.4125                        0.0234297                     2.13493e-06                   0.000053-0.007128j            -0.253985                     
3.4275                        0.0230463                     2.48046e-06                   0.000052-0.007097j            -0.252676                     
3.4425                        0.0226692                     6.44107e-06                   0.000052-0.007066j            -0.251373                     
3.4575                        0.0222982                     1.81015e-05                   0.000051-0.007035j            -0.250077                     
3.4725                        0.0219333                     8.24778e-06                   0.000051-0.007005j            -0.248787                     
3.4875                        0.0215744                     2.19952e-06                   0.000051-0.006974j            -0.247504                     
3.5025                        0.0212213                     7.65224e-06                   0.000050-0.006945j            -0.246228                     
3.5175                        0.020874                      -8.92269e-06                  0.000050-0.006915j            -0.244958                     
3.5325                        0.0205324                     7.48726e-06                   0.000049-0.006885j            -0.243695                     
3.5475                        0.0201964                     4.6887e-06                    0.000049-0.006856j            -0.242439                     
3.5625                        0.0198659                     -6.80783e-06                  0.000049-0.006827j            -0.241189                     
3.5775                        0.0195408                     -1.60208e-05                  0.000048-0.006799j            -0.239945                     
3.5925                        0.019221                      1.16757e-05                   0.000048-0.006770j            -0.238708                     
3.6075                        0.0189065                     7.58823e-06                   0.000047-0.006742j            -0.237477                     
3.6225                        0.0185971                     4.63753e-06                   0.000047-0.006714j            -0.236252                     
3.6375                        0.0182928                     2.3407e-07                    0.000047-0.006686j            -0.235034                     
3.6525                        0.0179934                     -1.05552e-06                  0.000046-0.006659j            -0.233822                     
3.6675                        0.0176989                     7.39426e-06                   0.000046-0.006632j            -0.232616                     
3.6825                        0.0174093                     2.80456e-06                   0.000045-0.006605j            -0.231416                     
3.6975                        0.0171244                     -6.37336e-06                  0.000045-0.006578j            -0.230223                     
3.7125                        0.0168442                     -1.39007e-06                  0.000045-0.006551j            -0.229036                     
3.7275                        0.0165685                     3.83563e-06                   0.000044-0.006525j            -0.227855                     
3.7425                        0.0162974                     1.45574e-05                   0.000044-0.006499j            -0.22668                      
3.7575                        0.0160307                     -2.36974e-08                  0.000044-0.006473j            -0.225511                     
3.7725                        0.0157684                     1.32467e-05                   0.000043-0.006447j            -0.224348                     
3.7875                        0.0155103                     6.60555e-06                   0.000043-0.006421j            -0.223191                     
3.8025                        0.0152565                     2.52271e-06                   0.000043-0.006396j            -0.22204                      
3.8175                        0.0150068                     -2.05558e-06                  0.000042-0.006371j            -0.220895                     
3.8325                        0.0147612                     4.5429e-06                    0.000042-0.006346j            -0.219756                     
3.8475                        0.0145197                     5.64433e-06                   0.000042-0.006321j            -0.218622                     
3.8625                        0.0142821                     -1.11059e-05                  0.000041-0.006296j            -0.217495                     
3.8775                        0.0140484                     -2.32978e-06                  0.000041-0.006272j            -0.216373                     
3.8925                        0.0138185                     -5.89301e-06                  0.000041-0.006248j            -0.215257                     
3.9075                        0.0135923                     4.6498e-06                    0.000040-0.006224j            -0.214147                     
3.9225                        0.0133699                     2.28562e-06                   0.000040-0.006200j            -0.213043                     
3.9375                        0.0131511                     -1.77407e-06                  0.000040-0.006176j            -0.211944                     
3.9525                        0.0129359                     -2.40167e-06                  0.000040-0.006153j            -0.210851                     
3.9675                        0.0127242                     -2.68204e-06                  0.000039-0.006130j            -0.209763                     
3.9825                        0.012516                      2.8598e-06                    0.000039-0.006106j            -0.208681                     
3.9975                        0.0123111                     -3.8895e-06                   0.000039-0.006083j            -0.207605                     
4.0125                        0.0121097                     -1.9148e-06                   0.000038-0.006061j            -0.206534                     
4.0275                        0.0119115                     -6.21754e-06                  0.000038-0.006038j            -0.205469                     
4.0425                        0.0117166                     2.62216e-07                   0.000038-0.006016j            -0.204409                     
4.0575                        0.0115248                     -8.92879e-06                  0.000038-0.005993j            -0.203355                     
4.0725                        0.0113362                     -4.35517e-06                  0.000037-0.005971j            -0.202306                     
4.0875                        0.0111507                     4.42701e-06                   0.000037-0.005949j            -0.201263                     
4.1025                        0.0109683                     -3.15202e-06                  0.000037-0.005928j            -0.200225                     
4.1175                        0.0107888                     5.47738e-08                   0.000036-0.005906j            -0.199192                     
4.1325                        0.0106122                     -5.94536e-07                  0.000036-0.005885j            -0.198165                     
4.1475                        0.0104385                     -4.41535e-06                  0.000036-0.005863j            -0.197142                     
4.1625                        0.0102677                     -1.37149e-06                  0.000036-0.005842j            -0.196126                     
4.1775                        0.0100997                     -4.22315e-06                  0.000035-0.005821j            -0.195114                     
4.1925                        0.00993442                    -9.85555e-08                  0.000035-0.005800j            -0.194107                     
4.2075                        0.00977184                    1.2425e-06                    0.000035-0.005779j            -0.193106                     
4.2225                        0.00961193                    1.26989e-06                   0.000035-0.005759j            -0.19211                      
4.2375                        0.00945464                    -7.20171e-07                  0.000034-0.005739j            -0.191119                     
4.2525                        0.00929992                    3.80092e-06                   0.000034-0.005718j            -0.190133                     
4.2675                        0.00914773                    -8.28685e-07                  0.000034-0.005698j            -0.189153                     
4.2825                        0.00899803                    2.33599e-06                   0.000034-0.005678j            -0.188177                     
4.2975                        0.00885078                    -2.32899e-06                  0.000034-0.005658j            -0.187206                     
4.3125                        0.00870594                    -1.42713e-06                  0.000033-0.005639j            -0.186241                     
4.3275                        0.00856347                    1.77474e-06                   0.000033-0.005619j            -0.18528                      
4.3425                        0.00842333                    2.50215e-06                   0.000033-0.005600j            -0.184324                     
4.3575                        0.00828549                    -8.33631e-07                  0.000033-0.005580j            -0.183373                     
4.3725                        0.0081499                     -1.67892e-06                  0.000032-0.005561j            -0.182427                     
4.3875                        0.00801653                    1.46186e-06                   0.000032-0.005542j            -0.181486                     
4.4025                        0.00788534                    -9.24678e-06                  0.000032-0.005523j            -0.18055                      
4.4175                        0.0077563                     5.71741e-06                   0.000032-0.005504j            -0.179619                     
4.4325                        0.00762937                    -1.75825e-06                  0.000032-0.005486j            -0.178692                     
4.4475                        0.00750452                    5.03816e-06                   0.000031-0.005467j            -0.17777                      
4.4625                        0.00738171                    -1.49035e-06                  0.000031-0.005449j            -0.176853                     
