alphas,e1,e2
4.92492,-4.92492,-5.23048
4.93093,-4.93093,-5.23723
4.93694,-4.93694,-5.24399
4.94294,-4.94294,-5.25074
4.94895,-4.94895,-5.25750
4.95495,-4.95495,-5.26425
4.96096,-4.96096,-5.27101
4.96697,-4.96697,-5.27776
4.97297,-4.97297,-5.28452
4.97898,-4.97898,-5.29128
4.98498,-4.98498,-5.29804
4.99099,-4.99099,-5.30480
4.99700,-4.99700,-5.31156
5.00300,-5.00300,-5.31833
5.00901,-5.00901,-5.32509
5.01502,-5.01502,-5.33185
5.02102,-5.02102,-5.33862
5.02703,-5.02703,-5.34539
5.03303,-5.03303,-5.35215
5.03904,-5.03904,-5.35892
5.04505,-5.04505,-5.36569
5.05105,-5.05105,-5.37246
5.05706,-5.05706,-5.37923
5.06306,-5.06306,-5.38600
5.06907,-5.06907,-5.39278
5.07508,-5.07508,-5.39955
5.08108,-5.08108,-5.40632
5.08709,-5.08709,-5.41310
5.09309,-5.09309,-5.41988
5.09910,-5.09910,-5.42665
5.10511,-5.10511,-5.43343
5.11111,-5.11111,-5.44021
5.11712,-5.11712,-5.44699
5.12312,-5.12312,-5.45377
5.12913,-5.12913,-5.46055
5.13514,-5.13514,-5.46733
5.14114,-5.14114,-5.47412
5.14715,-5.14715,-5.48090
5.15315,-5.15315,-5.48769
5.15916,-5.15916,-5.49447
5.16517,-5.16517,-5.50126
5.17117,-5.17117,-5.50805
5.17718,-5.17718,-5.51484
5.18318,-5.18318,-5.52163
5.18919,-5.18919,-5.52842
5.19520,-5.19520,-5.53521
5.20120,-5.20120,-5.54200
5.20721,-5.20721,-5.54880
5.21321,-5.21321,-5.55559
5.21922,-5.21922,-5.56239
5.22523,-5.22523,-5.56918
5.23123,-5.23123,-5.57598
5.23724,-5.23724,-5.58278
5.24324,-5.24324,-5.58958
5.24925,-5.24925,-5.59638
5.25526,-5.25526,-5.60318
5.26126,-5.26126,-5.60998
5.26727,-5.26727,-5.61678
5.27327,-5.27327,-5.62359
5.27928,-5.27928,-5.63039
5.28529,-5.28529,-5.63720
5.29129,-5.29129,-5.64400
5.29730,-5.29730,-5.65081
5.30330,-5.30330,-5.65762
5.30931,-5.30931,-5.66443
5.31532,-5.31532,-5.67124
5.32132,-5.32132,-5.67805
5.32733,-5.32733,-5.68486
5.33333,-5.33333,-5.69167
5.33934,-5.33934,-5.69848
5.34535,-5.34535,-5.70530
5.35135,-5.35135,-5.71211
5.35736,-5.35736,-5.71893
5.36336,-5.36336,-5.72575
5.36937,-5.36937,-5.73257
5.37538,-5.37538,-5.73938
5.38138,-5.38138,-5.74620
5.38739,-5.38739,-5.75303
5.39339,-5.39339,-5.75985
5.39940,-5.39940,-5.76667
5.40541,-5.40541,-5.77349
5.41141,-5.41141,-5.78032
5.41742,-5.41742,-5.78714
5.42342,-5.42342,-5.79397
5.42943,-5.42943,-5.80080
5.43544,-5.43544,-5.80762
5.44144,-5.44144,-5.81445
5.44745,-5.44745,-5.82128
5.45345,-5.45345,-5.82811
5.45946,-5.45946,-5.83495
5.46547,-5.46547,-5.84178
5.47147,-5.47147,-5.84861
5.47748,-5.47748,-5.85545
5.48348,-5.48348,-5.86228
5.48949,-5.48949,-5.86912
5.49550,-5.49550,-5.87596
5.50150,-5.50150,-5.88279
5.50751,-5.50751,-5.88963
5.51351,-5.51351,-5.89647
5.51952,-5.51952,-5.90331
5.52553,-5.52553,-5.91015
5.53153,-5.53153,-5.91700
5.53754,-5.53754,-5.92384
5.54354,-5.54354,-5.93069
5.54955,-5.54955,-5.93753
5.55556,-5.55556,-5.94438
5.56156,-5.56156,-5.95122
5.56757,-5.56757,-5.95807
5.57357,-5.57357,-5.96492
5.57958,-5.57958,-5.97177
5.58559,-5.58559,-5.97862
5.59159,-5.59159,-5.98547
5.59760,-5.59760,-5.99233
5.60360,-5.60360,-5.99918
5.60961,-5.60961,-6.00603
5.61562,-5.61562,-6.01289
5.62162,-5.62162,-6.01975
5.62763,-5.62763,-6.02660
5.63363,-5.63363,-6.03346
5.63964,-5.63964,-6.04032
5.64565,-5.64565,-6.04718
5.65165,-5.65165,-6.05404
5.65766,-5.65766,-6.06090
5.66366,-5.66366,-6.06776
5.66967,-5.66967,-6.07463
5.67568,-5.67568,-6.08149
5.68168,-5.68168,-6.08836
5.68769,-5.68769,-6.09522
5.69369,-5.69369,-6.10209
5.69970,-5.69970,-6.10896
5.70571,-5.70571,-6.11583
5.71171,-5.71171,-6.12270
5.71772,-5.71772,-6.12957
5.72372,-5.72372,-6.13644
5.72973,-5.72973,-6.14331
5.73574,-5.73574,-6.15019
5.74174,-5.74174,-6.15706
5.74775,-5.74775,-6.16394
5.75375,-5.75375,-6.17081
5.75976,-5.75976,-6.17769
5.76577,-5.76577,-6.18457
5.77177,-5.77177,-6.19145
5.77778,-5.77778,-6.19833
5.78378,-5.78378,-6.20521
5.78979,-5.78979,-6.21209
5.79580,-5.79580,-6.21897
5.80180,-5.80180,-6.22586
5.80781,-5.80781,-6.23274
5.81381,-5.81381,-6.23962
5.81982,-5.81982,-6.24651
5.82583,-5.82583,-6.25340
5.83183,-5.83183,-6.26029
5.83784,-5.83784,-6.26718
5.84384,-5.84384,-6.27407
5.84985,-5.84985,-6.28096
5.85586,-5.85586,-6.28785
5.86186,-5.86186,-6.29474
5.86787,-5.86787,-6.30163
5.87387,-5.87387,-6.30853
5.87988,-5.87988,-6.31542
5.88589,-5.88589,-6.32232
5.89189,-5.89189,-6.32922
5.89790,-5.89790,-6.33611
5.90390,-5.90390,-6.34301
5.90991,-5.90991,-6.34991
5.91592,-5.91592,-6.35681
5.92192,-5.92192,-6.36372
5.92793,-5.92793,-6.37062
5.93393,-5.93393,-6.37752
5.93994,-5.93994,-6.38443
5.94595,-5.94595,-6.39133
5.95195,-5.95195,-6.39824
5.95796,-5.95796,-6.40515
5.96396,-5.96396,-6.41205
5.96997,-5.96997,-6.41896
5.97598,-5.97598,-6.42587
5.98198,-5.98198,-6.43278
5.98799,-5.98799,-6.43969
5.99399,-5.99399,-6.44661
6.00000,-6.00000,-6.45352
